run,model,rows,empty_generations,repetition_like,review_or_unstable,unstable,mean_risk,mean_L,mean_loop,mean_entropy_per_step
original,gpt2,120,1,56,112,52,0.3433800596354943,6102.566485595703,29.633333333333333,0.03891687819009849
original,distilgpt2,120,35,44,23,2,0.13303492028282066,1727.9787347157796,10.816666666666666,0.11132427276461773
original,tinyllama,120,72,7,9,0,0.12688824255602246,1242.7212448120117,1.575,0.5461758137670293
confirmation,gpt2,120,1,56,112,52,0.3433800596354943,6102.566485595703,29.633333333333333,0.03891687819009849
confirmation,distilgpt2,120,35,44,23,2,0.13303492028282066,1727.9787347157796,10.816666666666666,0.11132427276461773
confirmation,tinyllama,120,72,7,9,0,0.12688824255602246,1242.7212448120117,1.575,0.5461758137670293
